,home_overall_rating,away_overall_rating,home_team_wins,home_team_draws,home_team_defeats,home_team_goals_diff,away_team_wins,away_team_draws,away_team_defeats,away_team_goals_diff,home_team_wins_against_eachother,home_team_goals_diff_agains_eachother,draws_against_eachother,away_team_wins_against_eachother,away_team_goals_diff_agains_eachother,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,785.0,758.0,2,2,1,3,4,0,1,2,0,0,1,0,0,15.24,30.599999999999994,41.21,1,0,0
0,655.0,706.0,3,1,1,3,2,0,3,-2,0,0,1,0,0,26.650000000000002,29.049999999999997,19.700000000000003,1,0,0
0,649.0,669.0,2,1,2,1,1,2,2,-1,0,0,1,0,0,16.689999999999998,29.85,33.849999999999994,0,0,1
0,757.0,630.0,4,0,1,8,2,2,1,2,0,0,1,0,0,11.979999999999999,38.58,74.0,1,0,0
0,616.0,600.0,0,1,4,-6,2,1,2,2,0,-1,0,1,1,17.77,29.25,31.05,0,0,1
0,563.0,619.0,0,0,5,-9,3,1,1,2,0,0,1,0,0,20.63,29.25,25.040000000000003,0,0,1
0,574.0,421.0,2,2,1,3,3,1,1,1,0,-1,0,1,1,17.91,29.099999999999998,30.849999999999994,1,0,0
0,718.0,419.0,0,0,5,-10,0,0,5,-11,0,-3,0,1,3,12.69,35.75,63.3,1,0,0
0,0.0,0.0,4,1,0,7,3,1,1,5,0,-1,0,1,1,15.89,30.099999999999998,37.2,1,0,0
0,0.0,0.0,1,1,0,3,1,1,0,1,0,0,0,0,0,11.26,43.75,84.0,1,0,0
0,0.0,0.0,0,1,1,-2,1,1,0,3,0,0,0,0,0,14.98,30.449999999999996,41.800000000000004,1,0,0
0,0.0,0.0,0,0,2,-4,1,0,1,-3,0,0,0,0,0,14.839999999999998,30.45,42.48,1,0,0
0,0.0,0.0,1,1,0,5,1,0,1,0,0,0,0,0,0,14.93,30.9,41.199999999999996,1,0,0
0,0.0,0.0,0,1,1,-2,2,0,0,3,0,0,0,0,0,22.05,29.049999999999997,22.78,0,0,1
0,0.0,0.0,0,0,1,-2,0,1,0,0,0,0,0,0,0,18.95,28.950000000000003,27.6,0,0,1
0,0.0,0.0,0,1,1,-1,2,0,0,5,0,0,0,0,0,44.6,31.800000000000004,14.379999999999999,0,1,0
0,0.0,0.0,0,0,2,-4,0,0,0,0,0,0,0,0,0,50.6,33.4,13.680000000000001,0,0,1
0,0.0,0.0,1,0,1,-2,0,2,0,0,0,0,0,0,0,20.56,28.7,24.970000000000002,1,0,0
0,618.0,785.0,3,0,2,3,3,1,1,4,0,-2,0,1,2,37.5,30.4,15.7,0,0,1
0,421.0,746.0,3,0,2,0,4,0,1,5,0,-2,0,1,2,45.5,31.6,14.46,0,0,1
0,746.0,566.0,3,0,2,0,0,0,5,-7,1,1,0,0,-1,10.71,52.1,100.5,1,0,0
0,559.0,586.0,0,0,5,-10,2,2,1,1,0,-1,0,1,1,30.229999999999997,26.55,14.979999999999999,1,0,0
0,574.0,710.0,3,1,1,2,1,0,4,-3,0,-1,0,1,1,19.88,28.55,26.88,0,0,1
0,704.0,661.0,2,0,3,-2,4,1,0,8,1,1,0,0,-1,22.029999999999998,28.800000000000004,23.56,0,1,0
0,481.0,669.0,2,1,2,-1,4,1,0,5,0,0,1,0,0,20.93,29.05,24.4,1,0,0
0,661.0,541.0,2,1,2,0,0,1,4,-4,0,-1,0,1,1,15.45,30.249999999999996,39.489999999999995,1,0,0
0,628.0,651.0,2,2,1,2,1,1,3,-3,1,2,0,0,-2,20.41,28.350000000000005,26.07,1,0,0
0,659.0,753.0,1,0,4,-4,3,0,2,-1,0,-3,0,1,3,24.0,28.7,21.7,1,0,0
0,713.0,713.0,2,0,3,0,1,1,3,-3,0,-1,0,1,1,0.0,0.0,0.0,0,0,1
0,637.0,660.0,2,1,2,-1,3,1,1,6,0,-2,0,1,2,19.400000000000002,29.15,27.08,1,0,0
0,660.0,731.0,3,1,1,1,3,2,0,6,0,-4,0,1,4,27.28,29.2,19.21,0,0,1
0,785.0,415.0,3,1,1,3,3,1,1,2,1,2,0,0,-2,10.42,54.5,116.0,1,0,0
0,745.0,618.0,4,0,1,7,2,1,2,0,0,0,1,0,0,10.779999999999998,50.0,100.0,1,0,0
