,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,9911,8721,2008-08-24 00:00:00,803.0,812.0,25.359999999999996,29.18,20.73,0,1,0
0,9827,9830,2008-08-24 00:00:00,812.0,736.0,13.48,32.050000000000004,60.3,1,0,0
0,8722,9810,2008-08-24 00:00:00,775.0,761.0,20.18,29.049999999999997,26.48,0,1,0
0,8462,10260,2008-08-25 00:00:00,841.0,910.0,43.4,30.249999999999996,15.91,0,0,1
0,8295,8722,2008-08-29 00:00:00,697.0,775.0,18.51,29.0,29.950000000000003,0,0,1
0,9807,6403,2008-08-29 00:00:00,0.0,0.0,15.58,29.35,40.41,0,1,0
0,4049,8342,2008-08-29 00:00:00,0.0,0.0,50.6,33.4,13.680000000000001,0,0,1
0,8569,8244,2008-08-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,8277,8674,2008-08-29 00:00:00,526.0,746.0,20.33,29.7,24.700000000000003,0,0,1
0,2183,8025,2008-08-29 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10001,9993,2008-08-30 00:00:00,0.0,0.0,20.56,28.7,24.970000000000002,1,0,0
0,8203,10000,2008-08-30 00:00:00,0.0,0.0,18.95,28.950000000000003,27.6,0,0,1
0,9831,9873,2008-08-30 00:00:00,748.0,775.0,16.619999999999997,27.080000000000002,40.01,1,0,0
0,9825,10261,2008-08-30 00:00:00,899.0,826.0,12.899999999999999,35.5,70.5,1,0,0
0,8654,8655,2008-08-30 00:00:00,845.0,857.0,21.53,29.0,25.83,1,0,0
0,9803,8611,2008-08-30 00:00:00,659.0,736.0,20.68,29.599999999999998,24.330000000000002,0,1,0
0,8549,10194,2008-08-30 00:00:00,808.0,768.0,14.23,32.300000000000004,54.5,1,0,0
0,8031,8030,2008-08-30 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,7947,9996,2008-08-30 00:00:00,0.0,0.0,22.05,29.049999999999997,22.78,0,0,1
0,1957,8028,2008-08-30 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8242,1601,2008-08-30 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9930,9931,2008-08-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,10199,10179,2008-08-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,9908,8640,2008-08-30 00:00:00,590.0,759.0,34.61,30.25,16.36,0,0,1
0,8668,8462,2008-08-30 00:00:00,849.0,841.0,18.500000000000004,29.35,32.050000000000004,0,0,1
0,8464,8526,2008-08-30 00:00:00,587.0,440.0,14.68,31.700000000000003,42.5,1,0,0
0,8429,9860,2008-08-30 00:00:00,614.0,740.0,25.74,29.2,19.95,0,0,1
0,8596,8066,2008-08-30 00:00:00,681.0,618.0,19.05,29.2,27.55,0,0,1
0,9800,8485,2008-08-30 00:00:00,706.0,731.0,24.7,28.9,20.81,0,0,1
0,10251,9927,2008-08-30 00:00:00,741.0,717.0,18.41,29.05,29.099999999999998,0,0,1
0,9938,8597,2008-08-30 00:00:00,697.0,726.0,16.61,29.7,34.05,0,0,1
0,8667,8528,2008-08-30 00:00:00,723.0,797.0,21.849999999999998,28.750000000000004,25.57,0,0,1
0,8559,8659,2008-08-30 00:00:00,809.0,781.0,16.73,29.599999999999998,38.25,0,1,0
0,8525,8593,2008-08-30 00:00:00,564.0,789.0,48.75,33.05,13.82,1,0,0
0,9984,9998,2008-08-30 00:00:00,0.0,0.0,14.839999999999998,30.45,42.48,1,0,0
0,9882,8636,2008-08-30 00:00:00,768.0,908.0,37.510000000000005,27.53,16.91,0,1,0
0,8635,8571,2008-08-30 00:00:00,0.0,0.0,11.26,43.75,84.0,1,0,0
0,9987,9994,2008-08-30 00:00:00,0.0,0.0,14.98,30.449999999999996,41.800000000000004,1,0,0
